,cluster_agglomerative
112.38.192.118,2
112.39.143.167,2
112.39.9.205,2
112.41.15.231,2
112.41.9.48,2
113.11.44.15,3
113.142.176.168,2
113.160.100.131,3
113.160.141.58,3
113.160.180.137,3
113.160.181.58,6
113.160.245.20,2
113.160.3.30,3
113.160.66.210,6
113.160.94.70,3
113.161.163.212,3
113.161.18.121,6
113.161.196.10,2
113.161.61.21,3
113.161.67.190,3
113.161.78.230,2
113.161.79.152,3
113.167.46.230,3
113.168.213.247,3
113.176.13.188,2
113.180.19.126,3
113.186.97.39,3
113.188.70.68,3
113.190.160.86,3
113.190.18.116,2
113.190.235.70,3
113.23.55.73,3
113.255.160.111,2
113.26.253.229,2
113.64.135.49,2
113.84.237.190,2
114.142.173.61,2
114.24.101.253,3
114.26.232.12,3
114.27.45.72,3
114.36.177.38,3
114.36.193.55,6
114.36.222.253,3
114.37.217.54,3
114.4.140.246,3
114.40.49.115,3
114.42.136.130,3
114.42.57.12,3
114.43.202.55,3
114.45.60.57,3
114.46.105.135,3
114.46.53.182,3
114.46.74.232,3
114.46.93.235,3
114.6.182.178,3
114.80.12.43,2
115.114.125.146,6
115.114.69.98,3
115.127.30.26,3
115.162.98.2,3
115.178.237.17,3
115.178.237.170,6
115.186.179.38,2
115.228.247.94,2
115.231.162.246,3
115.238.245.6,2
115.42.252.218,2
115.51.57.213,2
116.107.58.68,3
116.108.72.23,3
116.11.32.121,2
116.111.148.211,3
116.111.168.112,3
116.196.15.138,3
116.206.14.120,3
116.212.150.85,6
116.212.49.36,3
116.212.50.58,6
116.212.63.3,2
116.224.184.108,2
116.224.88.132,2
116.29.10.162,2
116.66.203.112,6
116.93.38.123,3
116.96.54.89,2
117.0.207.70,2
117.102.85.162,3
117.120.4.115,2
117.132.57.93,2
117.153.115.63,2
117.167.36.219,2
117.179.254.88,2
117.193.36.24,3
117.194.125.143,3
117.201.100.231,3
117.201.121.241,2
117.202.14.186,2
117.205.107.24,3
117.214.13.82,2
117.239.5.129,2
117.239.51.81,2
117.240.231.201,3
117.247.109.68,3
117.247.225.7,3
117.247.245.112,3
117.248.138.206,3
117.3.100.228,3
117.3.60.17,3
117.35.158.35,3
117.40.143.50,6
117.40.248.2,3
117.44.160.147,3
117.44.161.122,3
117.44.167.12,3
117.48.202.123,6
117.5.135.60,2
118.118.94.71,2
118.123.25.182,2
118.166.155.119,3
118.166.81.244,3
118.167.137.132,3
118.171.100.66,3
118.171.29.233,6
118.173.115.48,3
118.179.216.254,3
118.185.1.218,3
118.213.74.115,2
118.232.230.193,3
118.4.126.196,3
118.69.176.36,3
118.69.180.39,3
118.69.182.232,3
118.70.128.17,3
118.70.171.240,3
118.70.245.179,3
118.71.172.211,3
118.97.221.107,2
118.98.95.174,2
119.148.10.198,3
119.17.212.23,6
119.235.53.133,3
119.249.54.217,2
119.28.19.164,3
119.29.183.29,2
119.29.186.192,2
119.46.141.6,3
119.82.113.90,3
119.9.45.77,2
119.93.140.156,3
12.0.122.18,3
12.109.115.202,3
12.133.121.224,2
12.133.149.254,2
12.168.216.114,2
12.42.163.165,3
12.52.72.162,3
120.150.19.235,2
120.200.212.199,2
120.229.109.70,2
120.229.88.120,2
120.50.0.218,2
120.68.174.85,2
120.79.17.184,2
120.8.106.52,2
120.87.121.41,2
121.122.46.41,6
121.151.53.150,2
121.170.188.73,2
121.205.56.166,2
121.33.250.56,2
121.46.100.56,3
121.58.188.126,3
122.118.122.244,3
122.118.130.9,3
122.121.34.167,3
122.121.48.13,2
122.129.93.14,2
122.154.103.132,6
122.154.103.133,3
122.154.104.17,3
122.154.118.59,3
122.160.85.51,3
122.161.215.199,2
122.163.120.237,3
122.183.201.46,3
122.201.19.99,3
122.222.28.41,2
122.225.78.42,3
122.225.92.74,3
122.226.181.166,2
122.226.183.32,2
122.227.62.106,2
122.242.178.38,2
122.3.185.147,3
123.1.170.6,3
123.103.20.194,2
123.118.175.120,2
123.120.6.29,2
123.139.222.213,2
123.147.190.217,2
123.16.71.64,3
123.160.34.9,3
123.17.83.57,3
123.18.133.253,2
123.180.5.202,2
123.185.51.156,3
123.19.34.112,3
123.194.181.132,3
123.201.150.217,3
123.23.144.152,3
123.231.247.130,3
123.26.190.128,3
123.26.251.41,3
123.27.240.223,6
123.27.253.233,3
123.49.60.110,3
123.55.21.28,2
124.123.57.86,6
124.123.64.126,3
124.123.80.144,3
124.153.81.170,3
124.158.1.11,3
124.248.238.154,3
124.40.234.250,3
124.92.79.136,2
125.134.91.70,2
125.16.149.246,3
125.160.113.60,3
125.161.74.146,3
125.163.77.163,3
125.165.177.165,6
125.165.3.240,6
125.166.11.100,3
125.166.91.198,3
125.17.16.94,3
125.17.91.226,2
125.19.134.94,2
125.209.80.114,3
125.209.85.194,3
125.212.216.218,3
125.212.226.199,3
125.214.203.212,3
125.24.148.163,2
125.26.158.227,6
125.27.75.119,3
125.39.222.252,2
125.60.148.184,6
125.67.5.4,3
125.72.104.54,6
125.85.239.204,2
128.199.159.236,2
128.199.65.54,2
128.201.164.91,3
128.69.192.130,6
128.70.122.176,6
129.196.231.84,2
129.82.138.44,2
13.107.21.200,2
13.107.4.50,2
13.231.60.33,2
13.32.251.68,2
13.33.140.103,1
13.33.154.115,2
13.33.154.119,2
13.33.155.220,2
13.33.160.140,2
13.33.160.46,2
13.33.161.122,2
13.33.163.12,2
13.33.163.193,2
13.33.164.10,2
13.33.164.114,2
13.33.164.148,2
13.33.164.16,2
13.33.164.174,2
13.33.164.18,2
13.33.164.181,2
13.33.164.189,2
13.33.164.2,2
13.33.164.201,2
13.33.164.205,2
13.33.164.207,2
13.33.164.210,2
13.33.164.211,2
13.33.164.233,2
13.33.164.247,2
13.33.164.25,2
13.33.164.254,2
13.33.164.34,2
13.33.164.41,2
13.33.164.45,2
13.33.164.46,2
13.33.164.48,2
13.33.164.49,2
13.33.164.5,2
13.33.164.55,2
13.33.164.62,2
13.33.164.85,2
13.33.164.99,2
13.33.165.125,2
13.33.165.137,2
13.33.165.140,2
13.33.165.166,2
13.33.165.172,2
13.33.165.176,2
13.33.165.182,2
13.33.165.185,2
13.33.165.196,2
13.33.165.202,2
13.33.165.209,2
13.33.165.227,2
13.33.165.234,2
13.33.165.238,2
13.33.165.24,2
13.33.165.245,2
13.33.165.27,2
13.33.165.4,2
13.33.165.55,2
13.33.165.66,2
13.33.165.78,2
13.33.165.97,2
13.33.167.248,2
13.57.148.71,2
13.58.130.167,2
13.58.138.112,2
13.58.146.147,2
13.59.112.230,2
13.68.82.8,2
13.74.252.44,2
13.77.96.81,2
13.89.184.238,2
13.89.184.96,2
13.89.185.175,2
13.89.187.212,2
13.89.188.5,2
13.89.190.129,2
13.89.191.45,2
13.90.45.97,2
13.95.67.33,2
130.211.15.187,2
130.211.18.204,2
130.211.21.54,2
130.211.28.134,2
130.211.38.145,2
131.161.48.150,3
131.202.1.10,2
131.202.1.106,2
131.202.1.32,2
131.202.1.45,2
131.202.1.62,2
131.202.1.93,2
131.202.240.72,2
131.221.97.174,6
131.253.61.96,2
132.148.132.185,2
134.170.165.251,2
134.170.51.190,2
134.170.51.247,2
134.170.58.123,2
134.170.58.189,2
136.147.104.27,2
136.147.104.35,2
137.59.158.227,3
138.108.7.20,2
138.117.162.50,3
138.122.146.116,2
138.16.172.199,2
138.59.120.106,2
138.94.131.54,3
138.99.134.94,3
139.0.6.91,3
139.201.164.247,2
139.205.199.205,2
139.60.160.151,2
14.102.154.33,3
14.109.37.59,2
14.140.250.66,2
14.141.169.114,3
14.141.30.107,6
14.142.57.66,3
14.161.12.22,3
14.161.12.49,3
14.161.32.70,3
14.163.116.253,3
14.163.54.141,3
14.166.66.175,2
14.171.103.177,3
14.171.139.209,3
14.171.204.7,3
14.176.9.244,3
14.181.131.221,3
14.181.169.114,3
14.182.132.44,3
14.182.86.191,3
14.186.18.145,3
14.190.145.211,3
14.190.36.95,6
14.207.43.233,3
14.229.9.164,3
14.230.91.120,6
14.231.170.205,3
14.231.94.43,3
14.232.214.184,2
14.233.10.156,3
14.233.191.65,6
14.236.197.162,3
14.240.35.107,3
14.241.39.104,3
14.244.114.224,3
141.136.195.122,3
141.212.122.208,3
141.212.122.211,2
141.212.122.212,2
141.212.122.214,2
141.212.122.215,2
141.212.122.229,2
141.212.122.230,2
141.212.122.231,2
141.212.122.232,2
141.212.122.233,2
141.212.122.83,2
141.212.122.84,2
141.8.144.30,2
142.0.160.13,2
142.0.160.53,2
142.134.132.100,3
142.54.66.30,2
143.255.25.50,3
144.217.54.248,2
144.250.128.27,2
145.255.2.195,3
145.255.9.50,2
146.0.77.21,2
147.75.119.162,3
147.91.72.152,2
149.174.28.196,2
149.255.35.24,3
149.255.35.79,3
15.72.178.27,2
15.72.238.29,2
15.72.238.30,2
15.73.200.22,2
15.73.200.27,2
15.73.4.78,2
15.73.4.80,2
150.101.201.147,2
150.116.18.92,3
151.101.0.217,2
151.101.1.167,2
151.101.1.69,2
151.101.128.217,2
151.101.129.167,2
151.101.192.217,2
151.101.200.133,2
151.101.200.134,2
151.101.200.143,2
151.101.200.166,2
151.101.200.175,2
151.101.200.176,2
151.101.200.84,2
151.101.201.108,2
151.101.201.181,2
151.101.201.194,2
151.101.201.198,2
151.101.202.109,1
151.101.202.110,2
151.101.202.162,2
151.101.202.2,2
151.101.202.202,2
151.101.202.217,2
151.101.202.49,2
151.101.32.134,2
151.101.32.143,2
151.101.32.166,1
151.101.32.175,2
151.101.32.176,2
151.101.32.207,2
151.101.32.84,2
151.101.33.108,2
151.101.33.124,2
151.101.33.181,2
151.101.33.194,2
151.101.33.198,2
151.101.34.109,1
151.101.34.110,2
151.101.34.2,1
151.101.34.202,2
151.101.34.217,2
151.101.34.49,2
151.101.34.51,2
151.101.64.217,2
151.101.65.167,2
151.101.66.167,2
151.139.236.194,2
151.139.236.196,2
151.139.237.113,2
151.201.139.194,2
152.101.118.11,5
152.163.64.2,2
152.195.13.100,2
152.195.32.112,2
152.195.33.98,2
152.231.24.75,3
152.250.217.95,3
152.250.254.80,2
154.120.226.170,3
154.126.251.123,3
154.66.47.250,3
155.133.41.130,6
156.154.200.32,2
156.154.200.36,2
156.220.185.252,3
157.185.171.102,2
157.37.120.129,3
157.37.21.249,3
157.41.201.98,2
157.48.6.106,3
157.56.198.220,2
157.56.96.123,2
157.97.40.33,2
158.140.166.46,3
158.140.170.34,3
158.140.180.60,3
158.140.182.20,3
159.127.42.169,2
159.192.122.221,2
159.224.229.15,6
159.224.88.139,2
159.26.124.165,2
159.26.124.177,2
159.26.226.160,2
159.26.226.165,2
159.89.134.235,5
159.89.196.64,2
160.124.251.109,3
160.13.223.77,3
161.170.232.53,2
161.18.239.98,3
162.243.22.133,2
162.247.242.18,2
162.247.242.19,2
162.247.242.20,2
162.247.242.21,2
162.248.247.151,6
162.251.164.114,2
163.172.74.24,5
164.52.24.142,3
165.138.79.34,3
165.225.76.124,3
165.234.102.137,3
167.160.123.21,3
167.249.40.138,3
167.250.206.162,3
167.61.152.115,3
168.10.192.3,3
168.121.71.66,6
168.187.145.225,2
168.62.74.171,3
168.83.95.54,3
169.254.169.254,1
169.60.163.149,2
169.60.66.39,2
170.246.192.191,3
170.80.97.6,3
171.101.73.52,3
171.217.17.102,2
171.224.0.253,3
171.234.208.10,3
171.240.89.59,3
171.251.125.187,3
171.4.116.70,3
171.4.249.120,3
171.42.152.117,2
171.5.148.230,3
172.217.12.226,2
172.217.12.238,2
172.217.13.238,2
172.217.13.66,2
172.217.15.100,2
172.217.15.110,2
172.217.15.65,2
172.217.15.68,2
172.217.15.72,2
172.217.15.78,2
172.217.15.98,2
172.217.17.131,2
172.217.17.99,2
172.217.19.195,2
172.217.20.67,2
172.217.3.227,2
172.217.3.34,2
172.217.3.46,2
172.217.5.226,2
172.217.5.232,2
172.217.7.130,2
172.217.7.138,2
172.217.7.162,2
172.217.7.168,2
172.217.7.174,2
172.217.7.194,2
172.217.7.200,2
172.217.7.226,2
172.217.8.1,2
172.217.8.10,2
172.217.8.13,2
172.217.8.14,1
172.217.8.18,2
172.217.8.2,2
172.217.8.3,2
172.217.8.6,2
172.217.8.8,2
172.82.206.17,2
172.82.206.19,2
172.82.206.20,2
172.82.206.21,2
173.192.200.113,2
173.193.244.52,2
173.194.175.157,2
173.194.202.103,2
173.194.202.104,2
173.194.202.105,2
173.194.202.106,2
173.194.202.147,2
173.194.202.99,2
173.194.203.103,2
173.194.203.104,2
173.194.203.105,2
173.194.203.106,2
173.194.203.147,2
173.194.203.94,2
173.194.203.99,2
173.194.68.155,2
173.203.173.106,2
173.205.6.204,2
173.208.143.212,3
173.209.34.163,2
173.220.209.178,2
173.221.133.163,2
173.226.147.230,3
173.246.5.32,2
173.48.48.59,2
173.70.186.202,2
173.82.211.34,2
173.95.5.118,6
174.129.233.211,2
174.129.250.14,2
175.100.106.66,3
175.101.251.112,3
175.195.219.31,5
175.211.203.12,2
175.224.86.183,2
176.100.114.103,6
176.103.90.202,6
176.120.111.176,3
176.120.37.151,3
176.14.214.89,3
176.213.37.52,2
176.222.137.111,6
176.240.68.128,3
176.31.133.163,2
176.32.9.192,6
176.34.191.190,2
176.43.184.60,6
176.43.253.46,3
176.59.211.9,2
176.8.126.211,6
176.97.33.2,3
177.102.44.226,2
177.106.29.205,3
177.11.183.14,3
177.126.167.154,6
177.126.184.230,3
177.135.250.223,3
177.135.69.44,2
177.139.133.142,3
177.148.179.42,3
177.152.138.178,3
177.191.249.66,2
177.39.218.199,6
177.40.111.203,3
177.53.204.3,2
177.74.30.1,3
177.84.88.50,6
177.96.252.79,3
178.129.65.139,2
178.136.2.253,2
178.137.199.32,2
178.158.184.27,3
178.165.111.82,3
178.184.58.122,3
178.204.240.50,3
178.206.212.92,3
178.207.90.150,3
178.219.88.9,6
178.251.212.114,3
178.255.168.157,3
178.255.83.1,1
178.35.10.170,2
178.35.13.25,3
178.44.141.181,3
178.44.250.163,6
178.47.131.3,3
178.49.152.78,3
178.54.209.22,3
179.104.37.64,2
179.110.49.209,2
179.111.204.180,3
179.126.32.186,3
179.126.7.109,3
179.176.111.232,3
179.179.129.197,2
179.180.59.173,2
179.184.139.13,6
179.189.238.118,3
179.49.13.90,3
179.52.56.136,3
18.217.53.222,2
18.218.100.248,2
18.218.22.199,2
18.218.243.144,2
18.218.86.246,2
18.219.69.154,2
18.221.16.50,2
18.221.165.54,2
18.221.219.4,0
180.141.237.146,3
180.148.48.128,2
180.151.1.248,3
180.151.10.226,3
180.151.226.206,6
180.151.51.158,3
180.177.145.45,3
180.179.21.221,5
180.183.128.110,3
180.183.44.146,3
180.210.189.107,3
180.234.92.80,3
180.241.136.52,3
180.241.74.71,3
180.241.75.205,2
180.243.219.125,3
180.245.98.103,3
180.246.242.222,2
180.246.62.36,3
180.247.212.5,6
180.248.38.193,6
180.249.252.193,3
180.250.206.115,3
180.250.49.90,3
180.250.56.106,2
180.250.67.242,3
180.253.229.76,3
180.253.253.123,3
180.253.73.176,3
180.254.157.75,2
180.254.65.172,3
180.254.97.244,3
180.92.171.4,3
180.97.220.19,2
180.97.220.32,2
181.115.183.122,2
181.129.160.202,3
181.143.11.98,6
181.143.221.133,3
181.196.172.34,2
181.196.18.241,3
181.211.10.28,6
181.214.87.12,2
181.214.87.14,2
181.40.91.118,3
181.49.111.130,2
182.100.219.165,3
182.105.247.9,3
182.126.227.48,2
182.156.218.102,3
182.160.97.196,3
182.176.118.54,3
182.176.19.4,3
182.23.9.62,3
182.253.101.18,3
182.253.163.23,6
182.253.195.218,3
182.255.1.11,3
182.52.135.80,2
182.71.143.158,3
182.72.105.166,2
182.72.204.139,3
182.73.154.252,2
182.75.10.174,3
182.98.254.253,3
183.134.62.162,2
183.141.121.76,3
183.171.227.34,3
183.182.107.99,2
183.21.241.163,2
183.215.48.136,2
183.220.102.254,2
183.3.219.170,3
183.48.20.86,2
183.63.156.170,2
183.82.101.20,6
183.82.123.104,6
183.82.165.148,3
183.82.191.9,3
183.82.231.146,3
183.82.35.54,3
183.83.219.40,3
183.83.224.201,6
183.83.225.95,3
183.83.226.30,3
183.83.247.195,2
183.83.248.123,2
183.83.64.252,6
183.83.70.181,6
183.83.86.69,3
183.83.88.85,3
183.88.158.125,3
183.88.191.173,3
183.88.22.137,3
183.88.244.101,2
183.89.187.248,3
183.91.7.199,3
184.106.10.72,2
184.169.141.35,2
184.169.170.204,2
184.22.108.157,6
184.22.177.114,3
184.22.230.116,3
184.24.98.150,2
184.68.209.242,2
184.72.236.39,2
184.72.249.148,2
184.72.95.242,2
184.73.160.100,2
184.73.160.250,2
184.73.178.52,2
184.73.187.63,2
184.73.239.236,2
184.73.247.90,2
185.107.83.53,2
185.115.192.41,2
185.117.149.48,2
185.120.190.39,2
185.143.223.176,3
185.143.223.183,2
185.167.164.37,2
185.167.164.39,2
185.167.164.42,2
185.167.164.43,2
185.17.127.131,3
185.19.101.244,3
185.195.27.242,3
185.214.254.198,6
185.222.210.30,2
185.222.211.14,2
185.222.211.42,2
185.222.56.11,2
185.222.56.82,2
185.222.56.84,2
185.224.249.111,3
185.234.216.123,2
185.234.216.124,2
185.235.85.141,2
185.235.85.55,2
185.41.21.214,3
185.56.81.51,3
185.59.58.78,3
185.63.216.127,2
185.64.47.110,3
185.65.134.175,2
185.77.41.153,3
185.81.157.119,2
185.92.72.12,2
185.93.245.131,3
185.94.111.1,2
186.1.162.202,3
186.116.178.202,3
186.117.159.18,3
186.121.250.43,3
186.16.29.164,3
186.185.218.101,3
186.202.182.160,3
186.208.76.139,3
186.225.117.236,3
186.26.113.200,2
186.6.105.224,2
186.88.126.170,3
186.88.162.147,3
186.88.88.194,3
186.89.69.5,3
186.90.107.155,2
186.90.107.62,3
186.90.185.214,2
186.90.52.111,3
186.91.159.28,3
186.91.218.50,3
186.92.111.24,3
186.92.154.135,2
186.92.44.90,3
186.92.54.77,3
186.93.140.48,3
186.93.237.3,2
186.93.54.23,6
186.94.131.95,6
186.94.179.45,3
186.95.180.1,3
186.95.180.191,6
186.95.204.241,6
187.114.175.61,3
187.137.122.152,2
187.155.178.109,3
187.155.210.145,3
187.157.157.210,3
187.167.76.46,2
187.174.118.2,2
187.188.115.61,6
187.189.233.83,3
187.190.38.141,3
187.195.51.207,3
187.205.151.82,3
187.205.233.149,3
187.207.117.233,3
187.253.200.5,3
187.33.237.86,6
187.35.188.79,2
187.46.86.52,2
187.52.54.43,3
187.63.11.144,3
187.72.92.81,3
187.75.200.145,3
187.75.232.112,3
187.95.99.203,6
188.118.96.248,3
188.129.152.171,3
188.162.39.90,2
188.163.105.29,3
188.163.110.50,3
188.163.26.61,2
188.166.143.210,2
188.166.251.49,3
188.168.8.238,2
188.169.69.250,3
188.18.235.83,3
188.19.116.218,3
188.19.55.245,2
188.19.60.161,2
188.191.236.206,2
188.213.169.112,2
188.213.19.36,3
188.213.238.139,3
188.53.14.241,3
188.94.32.19,2
189.135.162.119,3
189.150.199.62,3
189.157.21.143,3
189.17.33.195,3
189.175.28.160,3
189.20.97.114,3
189.202.245.146,3
189.206.101.130,3
189.206.53.98,3
189.207.48.253,2
189.211.53.244,3
189.240.35.35,3
189.240.38.36,3
189.25.4.49,2
189.42.6.166,3
189.44.59.242,3
189.79.43.116,3
190.1.201.230,3
190.102.192.4,6
190.102.193.4,3
190.102.60.114,2
190.103.29.34,6
190.111.255.176,3
190.113.89.30,3
190.120.68.130,3
190.121.132.154,2
190.121.159.154,3
190.141.241.146,3
190.143.140.148,2
190.144.130.2,3
190.144.14.30,3
190.145.110.36,3
190.145.33.87,6
190.151.27.99,3
190.180.32.2,3
190.186.113.32,2
190.196.59.35,6
190.198.158.179,3
190.198.188.50,3
190.198.25.157,3
190.198.68.66,3
190.198.84.121,2
190.199.211.142,3
190.200.135.58,2
190.200.149.208,3
190.200.153.178,3
190.200.169.90,3
190.200.176.79,2
190.201.102.223,3
190.201.104.211,3
190.201.112.107,3
190.201.17.9,3
190.201.170.19,3
190.201.31.70,3
190.202.173.193,3
190.202.18.190,3
190.202.250.19,3
190.202.251.226,3
190.202.61.130,3
190.202.93.234,3
190.203.33.143,2
190.203.38.11,3
190.203.42.43,3
190.204.157.220,3
190.204.159.28,3
190.204.234.196,3
190.205.179.30,3
190.205.187.26,3
190.206.118.36,3
190.207.164.207,3
190.207.199.28,6
190.207.252.93,3
190.207.34.105,2
190.210.221.169,2
190.210.236.69,3
190.211.14.219,3
190.215.48.154,3
190.216.204.14,6
190.217.98.179,2
190.220.7.78,3
190.24.156.68,3
190.242.38.11,2
190.248.156.82,3
190.248.86.234,6
190.3.118.166,3
190.3.71.234,3
190.32.39.226,6
190.36.82.212,3
190.37.124.254,2
190.37.147.228,3
190.37.90.103,3
190.38.37.119,3
190.39.124.178,3
190.39.124.74,3
190.39.132.115,3
190.39.146.166,3
190.39.26.187,3
190.39.67.29,6
190.39.85.175,3
190.58.151.144,3
190.60.247.18,3
190.72.10.220,3
190.72.104.204,6
190.72.160.237,3
190.72.242.246,3
190.72.59.22,3
190.72.63.178,2
190.72.63.209,3
190.72.91.235,6
190.73.150.235,3
190.74.188.150,6
190.74.254.179,6
190.75.194.131,3
190.75.99.158,2
190.77.227.73,2
190.77.40.8,3
190.77.42.90,3
190.77.61.132,3
190.78.116.185,3
190.78.14.90,3
190.78.149.18,3
190.78.179.1,3
190.78.197.4,3
190.78.3.90,6
190.79.136.154,3
190.79.137.33,3
190.79.24.50,3
190.79.248.187,3
190.79.72.112,3
190.79.97.238,3
190.80.80.47,2
190.85.135.219,3
190.94.148.46,2
190.97.255.194,3
191.101.167.235,2
191.205.240.152,3
191.232.80.58,2
191.234.72.183,2
191.234.72.186,2
191.234.72.188,2
191.234.72.190,2
