,cluster_dbscan
172.31.66.11,0
172.31.66.110,0
172.31.66.111,0
172.31.66.112,0
172.31.66.113,0
172.31.66.114,-1
172.31.66.115,0
172.31.66.116,0
172.31.66.118,0
172.31.66.119,0
172.31.66.12,0
172.31.66.120,0
172.31.66.121,0
172.31.66.122,0
172.31.66.123,0
172.31.66.124,0
172.31.66.13,0
172.31.66.14,0
172.31.66.15,0
172.31.66.16,0
172.31.66.17,0
172.31.66.19,0
172.31.66.20,0
172.31.66.21,0
172.31.66.22,0
172.31.66.24,0
172.31.66.25,0
172.31.66.26,0
172.31.66.28,0
172.31.66.29,0
172.31.66.34,0
172.31.66.35,0
172.31.66.37,0
172.31.66.38,0
172.31.66.40,0
172.31.66.41,0
172.31.66.42,0
172.31.66.43,0
172.31.66.44,0
172.31.66.46,0
172.31.66.48,0
172.31.66.49,0
172.31.66.5,0
172.31.66.50,0
172.31.66.51,0
172.31.66.53,0
172.31.66.54,0
172.31.66.55,0
172.31.66.56,0
172.31.66.57,0
172.31.66.58,0
172.31.66.60,0
172.31.66.61,0
172.31.66.62,0
172.31.66.63,0
172.31.66.64,0
172.31.66.65,0
172.31.66.66,0
172.31.66.68,0
172.31.66.69,0
172.31.66.7,0
172.31.66.70,0
172.31.66.71,0
172.31.66.72,0
172.31.66.73,0
172.31.66.74,0
172.31.66.75,0
172.31.66.77,0
172.31.66.78,0
172.31.66.79,0
172.31.66.8,0
172.31.66.80,0
172.31.66.81,0
172.31.66.82,0
172.31.66.83,0
172.31.66.84,0
172.31.66.85,0
172.31.66.86,0
172.31.66.87,0
172.31.66.89,0
172.31.66.9,0
172.31.66.90,0
172.31.66.91,0
172.31.66.92,0
172.31.66.94,0
172.31.66.95,0
172.31.66.96,0
172.31.66.97,0
172.31.66.98,0
172.31.66.99,0
172.31.67.10,0
172.31.67.100,0
172.31.67.101,0
172.31.67.102,0
172.31.67.104,0
172.31.67.105,0
172.31.67.107,0
172.31.67.108,0
172.31.67.109,0
172.31.67.111,0
172.31.67.112,0
172.31.67.113,0
172.31.67.114,0
172.31.67.115,0
172.31.67.116,0
172.31.67.117,0
172.31.67.118,0
172.31.67.12,0
172.31.67.120,0
172.31.67.121,0
172.31.67.122,0
172.31.67.123,0
172.31.67.124,0
172.31.67.125,0
172.31.67.126,0
172.31.67.13,0
172.31.67.14,0
172.31.67.15,0
172.31.67.16,0
172.31.67.17,0
172.31.67.18,0
172.31.67.19,0
172.31.67.20,0
172.31.67.21,0
172.31.67.22,0
172.31.67.23,0
172.31.67.24,0
172.31.67.26,0
172.31.67.27,0
172.31.67.29,0
172.31.67.30,0
172.31.67.31,0
172.31.67.33,0
172.31.67.34,0
172.31.67.35,0
172.31.67.37,0
172.31.67.38,0
172.31.67.4,0
172.31.67.40,0
172.31.67.42,0
172.31.67.45,0
172.31.67.47,0
172.31.67.48,0
172.31.67.50,0
172.31.67.52,0
172.31.67.53,0
172.31.67.54,0
172.31.67.56,0
172.31.67.57,0
172.31.67.58,0
172.31.67.59,0
172.31.67.6,0
172.31.67.60,0
172.31.67.61,0
172.31.67.62,0
172.31.67.63,0
172.31.67.64,0
172.31.67.66,0
172.31.67.67,0
172.31.67.7,0
172.31.67.70,0
172.31.67.71,0
172.31.67.72,0
172.31.67.73,0
172.31.67.75,0
172.31.67.76,0
172.31.67.77,0
172.31.67.78,0
172.31.67.8,0
172.31.67.80,0
172.31.67.81,0
172.31.67.83,0
172.31.67.86,0
172.31.67.89,-1
172.31.67.9,0
172.31.67.91,0
172.31.67.92,0
172.31.67.93,0
172.31.67.94,0
172.31.67.95,0
172.31.67.96,0
172.31.67.97,0
172.31.67.98,0
172.31.67.99,0
172.31.68.10,0
172.31.68.11,0
172.31.68.12,0
172.31.68.13,0
172.31.68.14,0
172.31.68.15,0
172.31.68.18,0
172.31.68.19,0
172.31.68.20,0
172.31.68.21,0
172.31.68.23,0
172.31.68.25,0
172.31.68.26,0
172.31.68.28,0
172.31.68.30,0
172.31.68.4,0
172.31.68.5,0
172.31.68.6,0
172.31.68.8,0
172.31.68.9,0
172.31.69.10,0
172.31.69.11,0
172.31.69.12,0
172.31.69.13,0
172.31.69.14,0
172.31.69.16,0
172.31.69.17,0
172.31.69.18,0
172.31.69.19,0
172.31.69.20,0
172.31.69.21,0
172.31.69.22,0
172.31.69.23,0
172.31.69.24,0
172.31.69.25,-1
172.31.69.26,0
172.31.69.27,-1
172.31.69.28,0
172.31.69.29,0
172.31.69.30,0
172.31.69.4,0
172.31.69.5,0
172.31.69.6,0
172.31.69.7,0
172.31.69.8,0
172.31.69.9,0
172.31.64.127,0
172.31.65.127,0
172.31.66.127,0
172.31.67.127,0
172.31.69.1,0
