,cluster_kmeans
172.31.65.90,3
172.31.65.91,4
172.31.65.93,0
172.31.65.96,4
172.31.65.98,4
172.31.65.99,3
172.31.66.10,1
172.31.66.101,5
172.31.66.102,1
172.31.66.103,6
172.31.66.105,4
172.31.66.107,4
172.31.66.108,0
172.31.66.109,0
172.31.66.11,4
172.31.66.110,1
172.31.66.111,6
172.31.66.112,5
172.31.66.113,4
172.31.66.114,2
172.31.66.115,5
172.31.66.116,0
172.31.66.118,1
172.31.66.119,0
172.31.66.12,0
172.31.66.120,2
172.31.66.121,1
172.31.66.122,0
172.31.66.123,2
172.31.66.124,0
172.31.66.13,4
172.31.66.14,4
172.31.66.15,1
172.31.66.16,0
172.31.66.17,4
172.31.66.19,6
172.31.66.20,0
172.31.66.21,0
172.31.66.22,1
172.31.66.24,6
172.31.66.25,4
172.31.66.26,4
172.31.66.28,4
172.31.66.29,4
172.31.66.34,4
172.31.66.35,0
172.31.66.37,4
172.31.66.38,0
172.31.66.40,4
172.31.66.41,5
172.31.66.42,2
172.31.66.43,5
172.31.66.44,4
172.31.66.46,1
172.31.66.48,0
172.31.66.49,2
172.31.66.5,4
172.31.66.50,4
172.31.66.51,4
172.31.66.53,4
172.31.66.54,2
172.31.66.55,4
172.31.66.56,4
172.31.66.57,4
172.31.66.58,6
172.31.66.60,4
172.31.66.61,0
172.31.66.62,5
172.31.66.63,2
172.31.66.64,4
172.31.66.65,0
172.31.66.66,4
172.31.66.68,0
172.31.66.69,1
172.31.66.7,0
172.31.66.70,0
172.31.66.71,4
172.31.66.72,2
172.31.66.73,4
172.31.66.74,4
172.31.66.75,4
172.31.66.77,0
172.31.66.78,0
172.31.66.79,1
172.31.66.8,0
172.31.66.80,0
172.31.66.81,0
172.31.66.82,5
172.31.66.83,1
172.31.66.84,0
172.31.66.85,2
172.31.66.86,4
172.31.66.87,0
172.31.66.89,2
172.31.66.9,1
172.31.66.90,1
172.31.66.91,0
172.31.66.92,6
172.31.66.94,0
172.31.66.95,0
172.31.66.96,1
172.31.66.97,4
172.31.66.98,0
172.31.66.99,1
172.31.67.10,5
172.31.67.100,4
172.31.67.101,5
172.31.67.102,6
172.31.67.104,1
172.31.67.105,3
172.31.67.107,1
172.31.67.108,6
172.31.67.109,6
172.31.67.111,1
172.31.67.112,4
172.31.67.113,4
172.31.67.114,3
172.31.67.115,4
172.31.67.116,2
172.31.67.117,4
172.31.67.118,1
172.31.67.12,4
172.31.67.120,0
172.31.67.121,1
172.31.67.122,4
172.31.67.123,1
172.31.67.124,1
172.31.67.125,2
172.31.67.126,4
172.31.67.13,2
172.31.67.14,1
172.31.67.15,5
172.31.67.16,0
172.31.67.17,4
172.31.67.18,4
172.31.67.19,3
172.31.67.20,4
172.31.67.21,2
172.31.67.22,3
172.31.67.23,1
172.31.67.24,4
172.31.67.26,3
172.31.67.27,6
172.31.67.29,4
172.31.67.30,3
172.31.67.31,0
172.31.67.33,1
172.31.67.34,3
172.31.67.35,1
172.31.67.37,4
172.31.67.38,0
172.31.67.4,3
172.31.67.40,3
172.31.67.42,4
172.31.67.45,4
172.31.67.47,4
172.31.67.48,4
172.31.67.50,2
172.31.67.52,4
172.31.67.53,4
172.31.67.54,3
172.31.67.56,1
172.31.67.57,0
172.31.67.58,0
172.31.67.59,1
172.31.67.6,0
172.31.67.60,4
172.31.67.61,0
172.31.67.62,3
172.31.67.63,5
172.31.67.64,0
172.31.67.66,4
172.31.67.67,4
172.31.67.7,4
172.31.67.70,3
172.31.67.71,3
172.31.67.72,3
172.31.67.73,0
172.31.67.75,4
172.31.67.76,6
172.31.67.77,0
172.31.67.78,6
172.31.67.8,3
172.31.67.80,2
172.31.67.81,5
172.31.67.83,3
172.31.67.86,5
172.31.67.89,7
172.31.67.9,1
172.31.67.91,4
172.31.67.92,0
172.31.67.93,3
172.31.67.94,2
172.31.67.95,3
172.31.67.96,4
172.31.67.97,1
172.31.67.98,3
172.31.67.99,4
172.31.68.10,0
172.31.68.11,4
172.31.68.12,0
172.31.68.13,4
172.31.68.14,0
172.31.68.15,4
172.31.68.18,4
172.31.68.19,4
172.31.68.20,0
172.31.68.21,0
172.31.68.23,4
172.31.68.25,0
172.31.68.26,0
172.31.68.28,0
172.31.68.30,0
172.31.68.4,4
172.31.68.5,0
172.31.68.6,0
172.31.68.8,4
172.31.68.9,4
172.31.69.10,0
172.31.69.11,0
172.31.69.12,4
172.31.69.13,4
172.31.69.14,4
172.31.69.16,0
172.31.69.17,4
172.31.69.18,3
172.31.69.19,4
172.31.69.20,4
172.31.69.21,3
172.31.69.22,3
172.31.69.23,0
172.31.69.24,4
172.31.69.25,3
172.31.69.26,4
172.31.69.27,3
172.31.69.28,0
172.31.69.29,4
172.31.69.30,0
172.31.69.4,4
172.31.69.5,4
172.31.69.6,4
172.31.69.7,3
172.31.69.8,0
172.31.69.9,0
172.31.64.127,3
172.31.65.127,3
172.31.66.127,3
172.31.67.127,3
172.31.69.1,3
