,cluster_agglomerative
172.31.66.77,6
172.31.66.78,3
172.31.66.79,6
172.31.66.8,5
172.31.66.80,3
172.31.66.81,6
172.31.66.82,7
172.31.66.83,3
172.31.66.84,3
172.31.66.85,1
172.31.66.86,0
172.31.66.87,3
172.31.66.89,6
172.31.66.9,1
172.31.66.90,3
172.31.66.91,2
172.31.66.92,3
172.31.66.94,5
172.31.66.95,5
172.31.66.96,6
172.31.66.97,3
172.31.66.98,4
172.31.66.99,2
172.31.67.10,1
172.31.67.100,3
172.31.67.101,5
172.31.67.102,5
172.31.67.104,3
172.31.67.105,3
172.31.67.107,3
172.31.67.108,6
172.31.67.109,5
172.31.67.111,2
172.31.67.112,6
172.31.67.113,3
172.31.67.114,3
172.31.67.115,3
172.31.67.116,1
172.31.67.117,3
172.31.67.118,6
172.31.67.12,3
172.31.67.120,0
172.31.67.121,2
172.31.67.122,3
172.31.67.123,3
172.31.67.124,2
172.31.67.125,1
172.31.67.126,3
172.31.67.13,1
172.31.67.14,3
172.31.67.15,7
172.31.67.16,6
172.31.67.17,3
172.31.67.18,6
172.31.67.19,3
172.31.67.20,3
172.31.67.21,2
172.31.67.22,3
172.31.67.23,4
172.31.67.24,3
172.31.67.26,6
172.31.67.27,6
172.31.67.29,6
172.31.67.30,3
172.31.67.31,3
172.31.67.33,3
172.31.67.34,0
172.31.67.35,6
172.31.67.37,3
172.31.67.38,5
172.31.67.4,2
172.31.67.40,3
172.31.67.41,1
172.31.67.42,3
172.31.67.45,3
172.31.67.47,3
172.31.67.48,4
172.31.67.50,1
172.31.67.52,6
172.31.67.53,3
172.31.67.54,7
172.31.67.56,6
172.31.67.57,6
172.31.67.58,2
172.31.67.59,3
172.31.67.6,3
172.31.67.60,3
172.31.67.61,5
172.31.67.62,0
172.31.67.63,5
172.31.67.64,3
172.31.67.66,3
172.31.67.67,3
172.31.67.7,6
172.31.67.70,3
172.31.67.71,3
172.31.67.72,3
172.31.67.73,5
172.31.67.75,3
172.31.67.76,5
172.31.67.77,5
172.31.67.78,5
172.31.67.8,3
172.31.67.80,1
172.31.67.81,1
172.31.67.82,7
172.31.67.83,6
172.31.67.86,1
172.31.67.89,6
172.31.67.9,3
172.31.67.91,2
172.31.67.92,6
172.31.67.93,3
172.31.67.94,1
172.31.67.95,6
172.31.67.96,3
172.31.67.97,3
172.31.67.98,6
172.31.67.99,3
172.31.68.10,3
172.31.68.11,0
172.31.68.12,4
172.31.68.13,6
172.31.68.14,6
172.31.68.15,6
172.31.68.18,3
172.31.68.19,3
172.31.68.20,6
172.31.68.21,2
172.31.68.23,3
172.31.68.25,6
172.31.68.26,3
172.31.68.28,4
172.31.68.30,5
172.31.68.4,3
172.31.68.5,6
172.31.68.6,3
172.31.68.8,6
172.31.68.9,6
172.31.69.10,3
172.31.69.11,6
172.31.69.12,3
172.31.69.13,3
172.31.69.14,6
172.31.69.16,3
172.31.69.17,6
172.31.69.18,0
172.31.69.19,0
172.31.69.20,3
172.31.69.21,0
172.31.69.22,0
172.31.69.23,4
172.31.69.24,6
172.31.69.25,0
172.31.69.26,3
172.31.69.27,0
172.31.69.28,3
172.31.69.29,6
172.31.69.30,2
172.31.69.4,0
172.31.69.5,5
172.31.69.6,2
172.31.69.7,0
172.31.69.8,3
172.31.69.9,3
172.31.0.2,2
172.31.64.1,2
172.31.64.127,2
172.31.65.1,2
172.31.65.127,2
172.31.66.1,2
172.31.66.127,2
172.31.67.1,2
172.31.67.127,2
172.31.68.1,2
172.31.69.1,2
