,cluster_kmeans
104.193.74.191,6
104.193.82.52,6
104.196.121.62,6
104.196.23.108,6
104.197.69.102,6
104.20.116.11,6
104.20.117.11,6
104.20.15.243,6
104.20.151.16,6
104.20.16.243,6
104.20.170.45,6
104.20.171.45,6
104.20.222.36,6
104.20.223.36,6
104.20.227.13,6
104.20.30.2,6
104.20.31.2,6
104.20.38.14,6
104.20.39.14,6
104.20.48.87,6
104.20.49.87,6
104.20.53.8,6
104.20.62.188,6
104.20.63.168,6
104.20.63.188,6
104.20.64.168,6
104.20.68.222,6
104.20.94.73,6
104.20.95.73,6
104.208.232.49,10
104.210.149.182,6
104.236.143.191,6
104.24.110.133,6
104.24.111.133,6
104.24.111.169,6
104.24.31.32,6
104.244.42.1,6
104.244.43.112,6
104.244.43.113,6
104.244.43.144,6
104.244.43.16,6
104.244.43.17,6
104.244.43.176,6
104.244.43.177,6
104.244.43.209,6
104.244.43.48,6
104.244.43.80,6
104.244.46.199,6
104.244.46.231,6
104.244.46.7,6
104.244.46.71,6
104.25.135.37,6
104.25.136.37,6
104.25.157.114,6
104.25.64.8,6
104.27.135.181,6
104.27.162.22,6
104.27.170.98,6
104.27.171.98,6
104.27.180.197,6
104.27.181.197,6
104.28.20.184,6
104.28.21.184,6
104.28.21.35,6
104.31.74.124,6
104.31.75.124,6
104.31.84.81,6
104.31.85.81,6
104.45.6.77,6
104.67.65.130,6
104.67.65.22,6
104.67.65.8,6
104.67.69.74,6
104.86.80.239,6
104.91.38.127,6
104.96.210.67,6
104.96.221.170,6
104.96.221.177,6
104.96.221.186,6
104.96.221.200,6
105.112.88.66,1
106.2.36.141,2
106.203.31.84,0
106.204.100.42,2
106.223.211.14,2
106.223.31.145,6
106.51.106.152,2
106.51.127.54,2
106.51.170.197,2
106.51.235.21,2
106.51.28.41,1
106.76.87.36,0
107.160.254.162,6
107.178.240.89,6
107.178.244.119,6
107.178.254.65,6
107.181.161.101,6
107.181.174.130,6
107.20.135.198,6
107.20.162.225,6
107.20.164.115,6
107.20.177.212,6
107.20.189.177,6
107.20.216.34,6
107.217.94.48,6
107.22.182.161,6
107.22.185.72,6
107.22.187.194,6
107.22.209.248,6
107.22.216.68,6
107.22.226.112,6
107.22.227.142,6
107.22.234.102,6
107.22.237.39,6
107.22.242.203,6
107.23.175.130,6
107.23.203.104,6
107.23.60.106,6
107.23.95.151,6
108.161.136.24,6
108.161.140.98,1
108.161.188.192,6
108.161.189.121,10
108.161.189.55,6
108.166.178.118,6
108.168.172.162,6
108.170.31.115,2
108.174.10.14,10
108.174.11.1,6
108.175.2.252,2
108.177.98.103,6
108.177.98.104,6
108.177.98.105,6
108.177.98.106,6
108.177.98.147,6
108.177.98.99,6
108.199.26.226,6
108.21.232.91,6
108.29.95.169,6
108.43.233.37,6
109.111.25.147,0
109.122.62.22,1
109.124.18.100,6
109.166.91.221,2
109.184.175.251,1
109.188.66.85,0
109.190.239.77,6
109.191.183.60,1
109.199.125.97,6
109.201.152.18,6
109.202.0.226,1
109.228.28.18,6
109.230.76.226,2
109.236.89.133,6
109.238.238.30,2
109.248.190.89,2
109.248.196.130,0
109.248.199.10,2
109.60.153.178,6
109.74.163.5,0
109.75.202.225,0
109.75.43.195,1
109.87.125.118,0
109.95.50.47,2
110.137.144.186,0
110.137.153.91,2
110.137.88.40,0
110.164.250.104,6
110.186.73.233,6
110.34.13.4,2
110.36.172.116,0
110.36.218.5,2
110.67.91.131,2
110.77.131.70,6
110.77.168.122,1
110.78.187.124,2
110.9.175.132,2
110.9.175.177,2
110.9.175.206,0
111.221.29.254,6
111.23.105.74,6
111.23.220.150,6
111.240.100.65,2
111.246.136.106,2
111.246.20.228,0
111.246.210.133,0
111.251.106.123,2
111.253.21.186,0
111.254.175.177,2
111.36.189.83,6
111.37.28.174,7
111.68.99.62,0
111.76.17.9,0
111.90.185.228,2
111.93.140.156,2
111.93.214.2,1
112.101.120.15,6
112.133.232.80,6
112.133.251.89,6
112.197.16.50,0
112.200.109.40,2
112.242.57.139,6
112.38.196.204,6
112.38.50.107,6
112.39.143.167,6
112.42.132.252,6
112.42.137.70,6
112.78.159.86,2
112.82.205.145,6
112.98.173.153,6
113.14.224.13,6
113.142.176.168,6
113.160.152.47,0
113.160.180.137,1
113.160.181.58,1
113.160.187.84,1
113.160.202.89,0
113.160.208.118,0
113.160.208.30,0
113.160.215.227,1
113.160.245.20,0
113.160.245.22,0
113.160.3.30,0
113.160.66.210,1
113.161.18.121,6
113.161.196.10,1
113.161.21.66,6
113.161.36.74,2
113.161.4.57,6
113.161.40.9,2
113.161.61.21,0
113.161.7.206,2
113.162.79.165,0
113.162.79.202,0
113.162.81.245,2
113.163.156.244,0
113.163.20.64,2
113.168.213.247,2
113.175.112.42,0
113.176.13.188,0
113.180.19.126,0
113.183.70.89,0
113.183.70.90,6
113.186.97.39,1
113.188.70.68,2
113.190.129.124,2
113.190.18.116,2
113.23.11.211,0
113.66.119.149,6
114.101.104.167,6
114.142.173.61,0
114.143.132.226,0
114.27.144.165,2
114.30.79.18,0
114.34.236.126,0
114.34.64.237,2
114.37.217.54,1
114.4.140.246,2
114.40.49.115,2
114.42.57.12,1
114.45.60.57,2
114.46.105.135,0
114.46.135.89,2
114.46.53.182,0
114.6.182.178,0
115.11.209.87,6
115.110.123.190,0
115.114.125.146,0
115.127.30.26,2
115.127.33.218,2
115.149.128.2,0
115.162.98.2,2
115.178.200.34,0
115.178.237.17,2
115.200.197.194,6
115.42.252.218,0
115.53.157.243,6
115.74.103.143,2
115.74.116.154,6
115.75.217.117,2
115.76.100.42,1
115.76.144.206,6
115.78.161.11,0
115.78.209.221,2
115.85.85.178,0
116.107.26.158,1
116.107.58.68,1
116.11.32.121,6
116.196.15.138,2
116.206.14.120,2
116.210.189.73,6
116.212.49.36,2
116.212.50.58,1
116.212.63.3,6
116.58.64.205,2
116.66.203.112,1
116.74.102.216,0
116.96.112.102,6
116.96.54.89,2
116.97.118.50,6
116.99.154.249,1
117.0.207.70,1
117.0.32.238,6
117.0.37.111,0
117.0.78.37,2
117.13.202.108,6
117.132.57.93,6
117.150.164.43,6
117.163.163.101,6
117.179.90.217,6
117.193.36.24,0
117.194.125.143,1
117.201.121.241,0
117.205.107.24,1
117.218.72.9,1
117.239.51.81,0
117.239.83.193,2
117.247.109.68,1
117.247.237.61,0
117.247.245.112,0
117.248.138.206,2
117.36.64.207,6
117.4.147.100,0
117.4.224.50,2
117.4.34.135,0
117.4.90.109,0
117.40.143.50,1
117.44.167.12,0
117.48.202.123,1
117.6.123.243,2
117.69.25.9,0
117.91.5.135,6
118.107.74.254,0
118.143.82.18,2
118.166.81.244,2
118.170.192.73,2
118.170.247.251,2
118.171.29.233,2
118.173.115.48,2
118.173.140.179,2
118.173.39.238,0
118.174.245.227,0
118.175.225.215,0
118.184.54.242,0
118.185.1.218,2
118.213.227.82,0
118.251.63.162,6
118.69.182.61,0
118.70.128.207,0
118.70.245.179,1
118.71.172.211,2
118.96.80.112,0
118.98.93.55,6
118.98.95.174,6
119.17.212.23,0
119.178.26.14,6
119.28.19.164,1
119.29.186.192,1
119.46.141.6,0
119.50.43.108,6
119.92.152.202,0
119.93.140.156,0
119.94.77.248,2
12.109.115.202,0
12.133.121.224,6
120.138.98.40,7
120.188.32.65,2
120.188.73.64,1
120.188.78.109,2
120.188.82.68,0
120.229.88.120,6
120.37.252.189,6
120.50.0.218,2
120.50.136.181,6
120.72.91.58,6
121.122.89.228,0
121.170.188.73,6
121.241.226.244,1
121.244.36.226,1
121.56.22.205,6
121.58.188.126,0
122.121.34.167,1
122.129.93.14,6
122.146.56.15,6
122.154.103.130,2
122.154.103.132,2
122.154.103.133,1
122.154.118.59,2
122.160.57.203,2
122.161.215.199,2
122.163.120.237,2
122.165.215.149,6
122.201.19.99,2
122.224.9.140,2
122.225.92.74,2
122.227.62.106,6
122.237.60.25,6
122.3.185.147,1
122.52.125.245,0
122.53.57.123,0
123.118.175.120,6
123.147.190.217,6
123.16.253.110,2
123.185.210.70,0
123.19.34.112,1
123.194.180.53,0
123.194.181.132,6
123.25.239.162,2
123.26.204.240,2
123.26.51.65,0
123.27.240.223,0
123.27.253.233,2
123.27.31.9,2
124.123.59.31,0
124.40.234.250,0
124.81.88.230,2
125.108.173.23,6
125.121.196.208,6
125.16.149.246,6
125.160.115.45,2
125.160.136.237,6
125.160.40.161,0
125.160.51.231,2
125.161.48.76,2
125.163.77.163,2
125.165.177.165,1
125.165.3.240,2
125.165.51.162,0
125.165.55.179,2
125.166.91.198,0
125.167.102.149,0
125.167.196.202,2
125.167.61.72,6
125.17.16.94,2
125.17.229.50,0
125.17.68.22,0
125.18.118.208,2
125.209.80.114,1
125.209.85.194,2
125.212.216.130,2
125.212.241.203,0
125.221.38.12,6
125.227.0.13,2
125.231.70.210,0
125.25.201.47,2
125.25.32.187,0
125.26.158.227,1
125.39.222.42,6
125.39.222.48,6
125.4.193.242,6
125.5.20.121,2
125.60.148.184,0
126.113.12.130,2
128.111.48.247,6
128.140.241.28,1
128.148.36.89,6
128.201.164.91,1
128.68.99.178,0
128.69.192.130,1
128.70.122.176,1
129.173.22.11,6
129.82.138.44,6
13.107.21.200,6
13.33.126.69,6
13.33.140.103,6
13.33.154.115,6
13.33.155.195,6
13.33.160.140,6
13.33.160.148,6
13.33.160.40,6
13.33.160.58,6
13.33.161.122,6
13.33.164.110,6
13.33.164.114,6
13.33.164.117,6
13.33.164.125,6
13.33.164.16,6
13.33.164.165,6
13.33.164.171,6
13.33.164.175,6
13.33.164.18,6
13.33.164.180,6
13.33.164.181,6
13.33.164.194,6
13.33.164.207,6
13.33.164.216,6
13.33.164.219,6
13.33.164.228,6
13.33.164.234,6
13.33.164.25,6
13.33.164.254,6
13.33.164.26,6
13.33.164.29,6
13.33.164.35,6
13.33.164.37,6
13.33.164.38,6
13.33.164.56,6
13.33.164.73,6
13.33.164.91,6
13.33.164.99,6
13.33.165.125,6
13.33.165.137,6
13.33.165.140,6
13.33.165.149,6
13.33.165.166,6
13.33.165.176,6
13.33.165.194,6
13.33.165.196,6
13.33.165.199,6
13.33.165.238,6
13.33.165.24,6
13.33.165.27,6
13.33.165.3,6
13.33.165.37,6
13.33.165.4,6
13.33.165.52,6
13.33.165.58,6
13.33.165.66,6
13.33.165.72,6
13.33.165.78,6
13.33.165.87,6
13.57.148.71,6
13.58.130.167,6
13.58.138.112,6
13.58.146.147,6
13.59.112.230,6
13.67.185.161,6
13.74.252.44,6
13.74.56.103,6
13.77.96.81,6
13.78.177.144,6
13.89.184.238,6
13.89.184.96,6
13.89.185.175,6
13.89.185.177,6
13.89.187.212,6
13.89.188.5,6
13.89.191.45,6
13.90.45.97,6
13.95.154.103,6
13.95.67.33,6
130.211.15.187,6
130.211.18.204,6
130.211.21.54,6
130.211.28.134,6
130.211.38.145,10
131.202.1.10,6
131.202.1.106,6
131.202.1.32,6
131.202.1.93,6
131.221.97.174,1
132.148.132.185,6
132.148.81.215,6
132.255.100.214,2
133.209.71.205,7
134.170.51.246,6
134.192.195.204,6
134.255.147.55,6
136.147.104.26,6
136.147.104.27,6
138.117.162.50,0
138.122.146.116,2
138.16.172.199,6
138.204.74.42,2
138.219.128.75,0
139.0.6.91,1
139.162.108.129,6
139.162.77.6,6
139.255.93.186,2
139.5.154.98,0
139.60.160.151,6
139.60.161.161,6
139.60.161.214,6
139.60.161.72,6
139.60.162.176,6
14.115.230.210,6
14.120.91.7,6
14.140.111.211,2
14.141.169.114,2
14.141.30.107,2
14.142.181.179,0
14.161.33.65,2
14.162.231.155,6
14.171.139.209,2
14.176.231.71,2
14.176.9.244,0
14.182.132.44,0
14.185.247.153,0
14.190.145.211,0
14.207.140.243,0
14.207.156.10,0
14.231.94.43,0
14.232.214.184,2
14.233.10.156,2
14.233.191.65,2
14.241.39.104,2
14.242.117.138,0
14.243.31.20,2
141.212.122.208,6
141.212.122.209,6
142.0.160.13,6
142.0.160.53,6
142.134.132.100,2
143.160.52.102,1
143.255.25.50,0
144.217.153.207,6
144.217.158.30,6
144.217.54.248,6
144.250.128.27,2
145.239.165.150,6
145.255.3.126,2
145.255.3.152,2
145.255.9.152,0
146.0.77.21,6
147.91.72.152,6
148.102.52.86,0
148.103.9.128,6
149.174.28.138,6
149.255.35.24,0
149.255.35.79,6
149.56.163.21,6
149.56.163.33,6
15.72.178.22,6
15.72.178.25,6
15.72.178.27,6
15.72.238.25,6
15.72.238.26,6
15.73.200.22,6
15.73.200.24,6
15.73.200.25,6
15.73.200.26,6
15.73.200.27,6
15.73.4.76,6
15.73.4.79,6
150.101.201.147,6
151.101.0.217,6
151.101.1.167,6
151.101.128.217,6
151.101.129.167,6
151.101.129.69,6
151.101.192.217,6
151.101.193.167,6
151.101.193.69,6
151.101.200.134,6
151.101.200.166,6
151.101.200.175,6
151.101.200.176,6
151.101.200.84,6
151.101.200.95,6
151.101.201.108,6
151.101.201.181,6
151.101.202.109,10
151.101.202.110,6
151.101.202.162,6
151.101.202.2,10
151.101.202.202,6
151.101.202.217,6
151.101.202.49,6
151.101.32.134,6
151.101.32.143,6
151.101.32.166,6
151.101.32.175,6
151.101.32.176,6
151.101.32.207,6
151.101.32.233,6
151.101.32.84,6
151.101.33.108,6
151.101.33.124,6
151.101.33.181,6
151.101.34.109,10
151.101.34.110,10
151.101.34.162,6
151.101.34.2,10
151.101.34.202,6
151.101.34.217,6
151.101.34.49,6
151.101.34.51,6
151.101.64.217,6
151.101.65.167,6
151.139.236.194,6
151.139.236.196,6
151.139.237.113,6
151.139.240.26,6
151.201.139.194,6
152.101.118.11,3
152.111.32.218,2
152.163.51.3,6
152.163.64.2,6
152.195.13.100,6
152.195.32.110,6
152.195.32.112,6
152.195.32.132,6
152.195.33.98,6
152.231.24.75,2
152.250.254.80,2
154.118.255.43,2
154.126.251.123,1
154.66.216.30,2
155.94.222.128,6
156.154.200.32,6
156.154.200.36,6
156.216.205.254,1
156.222.2.207,2
157.25.229.250,6
157.37.120.129,2
157.37.21.249,0
157.48.6.106,2
157.50.17.239,0
157.56.96.123,6
157.97.40.33,6
158.140.164.34,2
158.140.167.249,2
158.140.180.60,1
158.140.182.20,2
159.192.122.221,6
159.224.158.216,0
159.224.162.50,2
159.224.229.15,2
159.26.124.160,6
159.26.124.165,6
159.26.124.177,6
159.26.226.160,6
159.26.226.165,6
160.124.251.107,2
160.124.251.109,0
160.13.200.138,6
160.163.27.227,0
161.170.232.53,6
162.243.22.133,6
162.247.242.18,6
162.247.242.19,6
162.247.242.20,6
162.247.242.21,6
162.248.181.197,6
162.248.247.94,2
162.250.188.110,2
162.252.73.8,6
163.172.53.127,1
163.172.74.24,3
164.132.198.64,6
164.52.24.140,6
164.52.7.167,6
165.225.32.86,2
165.227.33.148,6
165.234.102.137,2
167.250.141.13,0
168.194.49.65,0
168.28.195.34,2
169.254.169.254,5
169.60.66.35,6
170.253.220.172,6
170.84.7.2,0
171.12.82.53,0
171.224.0.253,2
171.224.101.62,0
171.225.199.27,0
171.228.252.233,0
171.240.148.228,2
171.240.89.59,0
171.249.235.192,6
171.251.125.187,6
171.251.96.121,0
171.4.243.207,2
171.5.104.9,0
171.79.226.46,6
172.104.70.103,2
172.217.12.226,6
172.217.12.238,6
172.217.13.238,6
172.217.13.66,6
172.217.13.74,6
172.217.13.78,6
172.217.15.104,6
172.217.15.106,6
172.217.15.110,6
172.217.15.72,6
172.217.15.78,6
172.217.17.67,6
172.217.19.195,6
172.217.20.35,6
172.217.3.34,6
172.217.3.42,6
172.217.5.234,6
172.217.7.130,6
172.217.7.142,6
172.217.7.162,6
172.217.7.194,6
172.217.7.200,6
172.217.7.202,6
172.217.7.234,6
172.217.8.1,6
172.217.8.10,6
172.217.8.14,10
172.217.8.19,6
172.217.8.2,6
172.217.8.3,6
172.217.8.6,6
172.217.8.8,6
172.217.9.194,6
172.245.245.9,1
172.246.134.24,2
172.47.0.2,6
172.82.206.17,6
172.82.206.19,6
172.82.206.20,6
172.82.206.21,6
173.12.213.89,6
173.166.248.9,6
173.192.200.113,6
173.192.91.158,6
173.193.244.52,6
173.194.202.103,6
173.194.202.104,6
173.194.202.105,6
173.194.202.106,6
173.194.202.147,6
173.194.202.99,6
173.194.203.103,6
173.194.203.104,6
173.194.203.105,6
173.194.203.106,6
173.194.203.147,6
173.194.203.94,6
173.194.203.99,6
173.194.68.154,6
173.194.68.156,6
173.194.68.157,6
173.203.173.106,6
173.205.6.204,6
173.209.131.22,6
173.209.34.163,6
173.220.209.178,6
173.227.69.75,6
173.241.242.143,6
173.246.5.32,6
173.48.48.59,6
173.70.186.202,6
173.95.20.14,2
173.95.5.118,2
174.127.187.230,6
174.129.229.144,6
174.129.233.211,6
174.142.168.171,6
175.100.106.66,0
175.180.112.116,2
175.195.219.31,3
175.196.234.74,6
175.31.243.207,6
176.103.90.202,1
176.106.69.238,2
176.111.35.2,0
176.120.37.151,1
176.124.128.246,0
176.124.19.186,0
176.14.216.221,0
176.213.37.52,6
176.222.137.111,2
176.240.68.128,0
176.32.9.192,2
176.43.184.60,0
176.43.253.46,0
176.59.211.9,2
176.8.126.211,1
176.97.33.2,1
177.101.74.34,2
177.12.82.187,6
177.126.184.230,1
177.132.227.61,0
177.135.69.44,6
177.139.133.142,0
177.148.179.42,0
177.157.216.198,0
177.159.155.156,0
177.159.47.49,1
177.23.87.208,2
177.38.218.2,2
177.39.218.165,0
177.39.218.199,1
177.53.204.3,0
177.74.30.1,0
177.84.88.50,2
177.98.61.74,1
178.136.2.253,6
178.137.199.32,0
178.137.83.248,1
178.158.184.27,2
178.184.172.195,2
178.204.240.50,2
178.207.204.176,2
178.207.78.181,2
178.209.88.192,0
178.210.141.46,0
178.219.88.9,1
178.250.0.77,6
178.251.212.114,6
178.255.168.157,2
178.255.83.1,10
178.44.141.181,2
178.44.250.163,1
178.45.193.66,2
178.54.209.22,2
179.104.234.202,2
179.184.139.13,2
179.191.81.194,0
179.49.13.90,1
179.52.56.136,1
18.217.166.230,6
18.217.53.222,6
18.218.100.248,6
18.218.22.199,6
18.218.243.144,6
18.218.86.246,6
18.219.69.154,6
18.220.247.144,6
18.221.16.50,6
18.221.219.4,4
180.151.226.206,1
180.151.51.158,0
180.179.21.221,3
180.183.58.196,2
180.19.18.86,7
180.241.213.83,2
180.241.75.205,0
180.243.219.125,1
180.244.3.85,2
180.246.242.222,6
180.246.62.36,0
180.248.143.90,2
180.248.38.193,1
180.249.252.193,2
180.250.205.50,2
180.250.49.90,1
180.250.67.242,2
180.251.5.4,1
180.253.226.210,2
180.254.157.75,0
180.254.75.67,0
180.76.152.221,6
180.92.171.4,2
180.97.220.32,6
181.115.183.122,2
181.143.11.98,1
181.143.142.42,0
181.143.189.130,2
181.143.236.250,0
181.194.202.215,2
181.196.18.241,1
181.196.254.36,1
181.214.150.177,2
181.214.87.12,6
181.214.87.14,6
181.224.226.153,0
181.30.112.125,2
182.100.219.165,1
182.128.8.4,6
182.146.98.28,6
182.167.235.233,6
182.185.75.126,6
182.201.32.143,2
182.23.9.62,2
182.237.10.217,6
182.253.101.18,0
182.253.119.74,0
182.253.152.20,2
182.253.163.23,0
182.253.186.66,0
182.253.195.218,2
182.52.135.80,2
182.71.136.198,1
182.71.143.158,1
182.72.105.166,2
182.73.97.162,0
182.75.10.174,0
182.98.255.0,2
183.134.62.162,6
183.171.227.34,1
183.182.107.99,0
183.202.214.64,6
183.215.44.200,6
183.220.102.254,6
183.3.219.170,0
183.30.202.32,6
183.46.170.58,6
183.60.204.141,2
183.81.108.91,2
183.81.85.162,2
183.82.123.104,0
183.82.196.13,6
183.82.23.14,0
183.82.3.218,2
183.82.35.54,2
183.83.219.40,2
183.83.224.201,0
183.83.225.95,2
183.83.251.144,2
183.83.51.254,0
183.83.64.252,1
183.83.70.181,2
183.83.88.85,0
183.88.22.137,0
183.88.22.31,0
183.88.244.101,6
183.88.82.191,2
183.89.187.248,0
183.89.215.204,0
183.89.95.126,2
183.91.7.199,2
184.106.10.72,6
184.148.12.243,0
184.169.141.35,6
184.169.170.204,6
184.22.111.249,2
184.22.177.114,2
184.22.230.116,1
184.22.230.61,2
184.24.98.150,6
184.68.209.242,6
184.72.237.155,6
184.72.245.112,6
184.72.95.242,6
184.73.155.237,6
184.73.160.100,6
184.73.167.66,6
184.73.204.211,6
184.73.239.236,6
184.73.247.25,6
184.82.204.162,2
185.105.237.82,2
185.107.45.71,3
185.12.68.152,2
185.14.161.122,2
185.167.164.37,6
185.167.164.42,6
185.167.164.43,6
185.17.127.131,2
185.19.101.244,2
185.214.254.198,0
185.222.210.30,6
185.222.211.14,6
185.222.211.42,6
185.222.56.82,6
185.222.56.84,10
185.224.249.111,6
185.234.216.123,6
185.234.216.124,6
185.235.85.232,6
185.235.85.75,6
185.48.150.78,2
185.48.36.17,1
185.5.16.102,2
185.56.81.51,1
185.59.58.64,2
185.59.58.78,1
185.81.157.132,0
185.88.181.9,6
185.9.184.245,2
185.92.72.12,6
185.93.1.24,6
185.93.1.4,6
185.94.111.1,6
185.94.140.39,6
186.1.162.202,2
186.121.250.43,2
186.154.154.161,1
186.154.221.147,2
186.176.204.133,2
186.179.195.250,0
186.183.237.59,2
186.194.203.251,0
186.202.182.160,2
186.225.117.236,2
186.226.7.48,0
186.26.113.200,2
186.46.207.83,6
186.50.240.191,0
186.6.105.224,2
186.67.130.102,2
186.88.106.229,2
186.88.162.147,2
186.88.41.5,0
186.88.57.38,0
186.88.88.194,1
186.89.116.64,2
186.90.111.135,1
186.90.185.214,0
186.91.218.50,2
186.92.39.170,2
186.92.4.111,2
186.92.43.0,2
186.92.44.90,6
186.94.131.95,2
186.94.51.59,1
186.95.12.211,2
186.95.145.65,2
186.95.180.1,0
186.95.180.191,2
186.95.189.129,0
186.95.202.242,2
186.95.204.241,2
186.95.228.126,0
187.102.96.91,7
187.136.244.88,2
187.137.122.152,0
187.155.210.145,0
187.174.118.2,1
187.18.120.158,2
187.188.115.61,2
187.190.157.202,1
187.190.38.104,0
187.190.38.141,0
187.195.51.207,0
187.205.151.82,2
187.226.230.80,1
187.248.67.146,2
187.32.52.1,1
187.33.237.86,1
187.35.109.94,6
187.35.145.232,0
187.44.172.162,1
187.52.54.43,1
187.72.233.93,2
187.72.92.81,1
187.73.164.15,2
188.0.131.85,3
188.129.152.171,2
188.163.105.29,0
188.164.218.185,2
188.166.148.200,6
188.166.43.113,6
188.168.17.13,2
188.168.17.5,2
188.169.69.250,2
188.18.235.83,0
188.19.116.218,2
188.19.60.161,6
188.191.7.41,2
188.213.238.139,2
188.54.130.183,2
188.94.32.19,6
189.135.162.119,0
189.137.110.234,2
189.152.216.111,0
189.17.33.195,2
189.175.28.160,1
189.18.159.215,2
189.18.86.12,2
189.182.155.191,0
189.206.218.46,2
189.216.240.41,0
189.240.38.36,0
189.240.98.36,2
189.42.6.166,1
189.44.59.242,2
189.69.242.206,2
189.76.176.38,2
190.102.192.4,1
190.102.193.4,1
190.103.29.34,1
190.111.255.176,2
190.113.89.30,1
190.121.132.154,1
190.122.147.27,2
190.143.140.148,1
190.145.110.36,2
190.145.65.44,0
190.151.27.99,2
190.181.5.204,0
190.196.128.115,0
190.196.59.35,2
190.198.134.147,2
190.198.153.122,2
190.198.17.251,2
190.198.252.185,2
190.198.5.122,2
190.198.68.66,1
190.198.88.45,2
190.199.153.151,2
190.199.211.142,2
190.199.227.110,2
190.200.135.58,1
190.200.153.178,2
190.201.102.223,2
190.201.112.107,0
190.201.170.19,2
190.202.18.190,2
190.202.183.10,2
190.202.251.226,2
190.202.93.234,2
190.203.241.167,0
190.203.33.143,6
190.203.38.11,0
190.203.42.43,2
190.204.157.220,2
190.204.159.28,1
190.205.168.160,2
190.205.187.26,6
190.206.132.247,0
190.207.137.152,0
190.207.138.79,2
190.207.164.207,0
190.207.199.28,1
190.207.88.182,2
190.207.93.140,0
190.210.222.230,2
190.210.236.69,1
190.216.129.148,2
190.216.204.14,1
190.217.178.11,0
190.24.156.68,1
190.241.4.53,1
190.248.156.82,2
190.248.17.212,2
190.248.86.234,1
190.3.118.166,2
190.32.39.226,1
190.36.82.212,6
190.37.124.254,2
190.37.53.165,2
190.38.73.74,0
190.39.67.29,1
190.39.79.137,1
190.39.85.175,2
190.39.95.179,0
190.4.191.150,6
190.48.65.211,0
190.58.151.144,1
190.58.165.205,2
190.60.95.3,1
190.72.191.54,6
190.72.57.214,2
190.72.63.209,2
190.73.150.235,1
190.73.155.227,2
190.73.45.77,6
190.73.47.82,0
190.74.165.78,1
190.74.188.150,0
190.74.234.12,1
190.74.253.165,2
190.74.254.179,1
190.75.98.211,0
190.75.99.158,0
190.77.211.234,0
190.77.222.80,2
190.77.40.8,1
190.77.42.90,0
190.78.197.4,1
190.78.3.90,2
190.79.136.154,2
190.79.137.33,1
190.79.217.21,2
190.79.24.50,2
190.79.248.187,2
190.80.80.47,2
190.82.103.34,2
190.94.148.46,6
191.101.167.235,6
191.101.167.246,6
191.101.167.250,6
191.19.245.252,2
191.234.72.183,6
191.234.72.186,6
191.234.72.188,6
191.234.72.190,6
191.236.16.12,6
191.240.29.176,2
191.37.246.47,2
191.53.43.222,0
192.0.73.2,6
192.0.77.2,6
192.110.165.94,6
192.126.90.210,6
192.155.48.108,6
192.161.156.1,6
192.198.207.178,6
192.200.184.173,6
192.229.162.211,6
192.229.163.180,6
192.229.163.25,6
192.229.173.136,6
192.229.210.170,6
192.230.185.126,6
192.237.193.133,6
192.243.250.36,6
192.243.250.58,6
192.252.144.35,6
192.28.144.124,6
192.35.249.120,6
192.35.249.127,6
192.82.242.21,6
192.82.242.50,6
192.96.59.6,6
192.99.132.66,6
193.140.142.9,2
193.150.101.6,0
193.19.118.97,6
193.194.69.157,2
