,cluster_kmeans
172.31.66.24,3
172.31.66.25,4
172.31.66.26,4
172.31.66.28,4
172.31.66.29,4
172.31.66.34,4
172.31.66.35,0
172.31.66.37,4
172.31.66.38,0
172.31.66.40,4
172.31.66.41,5
172.31.66.42,1
172.31.66.43,5
172.31.66.44,4
172.31.66.46,7
172.31.66.48,0
172.31.66.49,1
172.31.66.5,4
172.31.66.50,4
172.31.66.51,4
172.31.66.53,4
172.31.66.54,1
172.31.66.55,4
172.31.66.56,4
172.31.66.57,4
172.31.66.58,7
172.31.66.60,4
172.31.66.61,0
172.31.66.62,5
172.31.66.63,1
172.31.66.64,4
172.31.66.65,0
172.31.66.66,4
172.31.66.68,0
172.31.66.69,7
172.31.66.7,0
172.31.66.70,4
172.31.66.71,4
172.31.66.72,1
172.31.66.73,4
172.31.66.74,4
172.31.66.75,4
172.31.66.77,0
172.31.66.78,0
172.31.66.79,7
172.31.66.8,0
172.31.66.80,0
172.31.66.81,0
172.31.66.82,5
172.31.66.83,7
172.31.66.84,0
172.31.66.85,1
172.31.66.86,4
172.31.66.87,0
172.31.66.89,1
172.31.66.9,7
172.31.66.90,7
172.31.66.91,0
172.31.66.92,3
172.31.66.94,0
172.31.66.95,0
172.31.66.96,7
172.31.66.97,4
172.31.66.98,4
172.31.66.99,7
172.31.67.10,1
172.31.67.100,4
172.31.67.101,5
172.31.67.102,7
172.31.67.104,7
172.31.67.105,2
172.31.67.107,7
172.31.67.108,7
172.31.67.109,3
172.31.67.111,7
172.31.67.112,4
172.31.67.113,4
172.31.67.114,2
172.31.67.115,4
172.31.67.116,1
172.31.67.117,4
172.31.67.118,7
172.31.67.12,4
172.31.67.120,0
172.31.67.121,7
172.31.67.122,4
172.31.67.123,7
172.31.67.124,7
172.31.67.125,1
172.31.67.126,4
172.31.67.13,1
172.31.67.14,7
172.31.67.15,5
172.31.67.16,0
172.31.67.17,4
172.31.67.18,4
172.31.67.19,6
172.31.67.20,4
172.31.67.21,1
172.31.67.22,2
172.31.67.23,7
172.31.67.24,4
172.31.67.26,2
172.31.67.27,3
172.31.67.29,4
172.31.67.30,2
172.31.67.31,0
172.31.67.33,7
172.31.67.34,2
172.31.67.35,7
172.31.67.37,4
172.31.67.38,0
172.31.67.4,2
172.31.67.40,6
172.31.67.42,4
172.31.67.45,4
172.31.67.47,4
172.31.67.48,4
172.31.67.50,1
172.31.67.52,4
172.31.67.53,4
172.31.67.54,2
172.31.67.56,7
172.31.67.57,0
172.31.67.58,0
172.31.67.59,7
172.31.67.6,4
172.31.67.60,4
172.31.67.61,0
172.31.67.62,6
172.31.67.63,5
172.31.67.64,0
172.31.67.66,4
172.31.67.67,4
172.31.67.7,4
172.31.67.70,2
172.31.67.71,2
172.31.67.72,6
172.31.67.73,0
172.31.67.75,4
172.31.67.76,3
172.31.67.77,0
172.31.67.78,3
172.31.67.8,2
172.31.67.80,1
172.31.67.81,5
172.31.67.83,2
172.31.67.86,5
172.31.67.89,2
172.31.67.9,7
172.31.67.91,4
172.31.67.92,0
172.31.67.93,2
172.31.67.94,1
172.31.67.95,2
172.31.67.96,4
172.31.67.97,6
172.31.67.98,6
172.31.67.99,4
172.31.68.10,0
172.31.68.11,4
172.31.68.12,0
172.31.68.13,4
172.31.68.14,0
172.31.68.15,4
172.31.68.18,4
172.31.68.19,4
172.31.68.20,0
172.31.68.21,0
172.31.68.23,4
172.31.68.25,0
172.31.68.26,0
172.31.68.28,0
172.31.68.30,0
172.31.68.4,4
172.31.68.5,0
172.31.68.6,0
172.31.68.8,4
172.31.68.9,4
172.31.69.10,0
172.31.69.11,0
172.31.69.12,4
172.31.69.13,4
172.31.69.14,4
172.31.69.16,0
172.31.69.17,4
172.31.69.18,2
172.31.69.19,4
172.31.69.20,4
172.31.69.21,2
172.31.69.22,2
172.31.69.23,0
172.31.69.24,4
172.31.69.25,2
172.31.69.26,4
172.31.69.27,2
172.31.69.28,0
172.31.69.29,4
172.31.69.30,0
172.31.69.4,4
172.31.69.5,4
172.31.69.6,4
172.31.69.7,2
172.31.69.8,4
172.31.69.9,0
172.31.64.127,2
172.31.65.127,2
172.31.66.127,2
172.31.67.127,2
172.31.69.1,2
